Time (UTC),Range (km),Azimuth (deg),Elevation (deg),d Range/dt (km/s),d Azimuth/dt (deg/s),d Elevation/dt (deg/s),One Way Light Time (s)
2025-03-09T18:37:00,544903.7326459136,128.95880944676713,20.91648359853939,0.4512012062356341,0.0034260264052209184,0.0024124355512552243,1.8176032055012994
2025-03-09T18:38:00,544930.8343666476,129.16464396954967,21.061019894468753,0.4521902768021926,0.0034351316744698625,0.0024054325289931972,1.8176936071108485
2025-03-09T18:39:00,544957.9955714126,129.3710261230334,21.205134484858995,0.45318398799495974,0.003444280712113012,0.002398378654515058,1.8177842071377681
2025-03-09T18:40:00,544985.2165381383,129.57795852453785,21.348824311059882,0.45418232203724784,0.003453473224166141,0.002391273677448761,1.817875006509131
2025-03-09T18:41:00,545012.4975420973,129.78544377337292,21.49208629908684,0.4551852610648579,0.003462708908140842,0.002384117347721064,1.8179660061431477
2025-03-09T18:42:00,545039.838860579,129.99348445068728,21.634917360606185,0.4561927871163203,0.0034719874529519873,0.002376909415597553,1.8180572069647565
2025-03-09T18:43:00,545067.2407682374,130.20208311858173,21.77731439199193,0.45720488214328814,0.003481308538734949,0.0023696496317498986,1.818148609890104
2025-03-09T18:44:00,545094.7035371563,130.41124231956204,21.919274274343067,0.4582215280111388,0.0034906718367063052,0.0023623377473118742,1.818240215826765
2025-03-09T18:45:00,545122.2274428875,130.62096457653126,22.060793874817247,0.4592427064853375,0.0035000770090880687,0.0023549735139163073,1.8183320256938802
2025-03-09T18:46:00,545149.812752194,130.83125239119965,22.201870044066972,0.46026839925927465,0.0035095237088440963,0.0023475566837908427,1.8184240403812761
2025-03-09T18:47:00,545177.4597399712,131.04210824496164,22.342499619839934,0.46129858791697487,0.003519011579713347,0.0023400870097639893,1.8185162608059051
2025-03-09T18:48:00,545205.1686723889,131.2535345968869,22.482679423451962,0.46233325397104963,0.0035285402558980273,0.0023325642453781554,1.818608687855613
2025-03-09T18:49:00,545232.9398190025,131.46553388422038,22.62240626243033,0.4633723788355848,0.0035381093620514537,0.0023249881449110364,1.8187013224295412
2025-03-09T18:50:00,545260.7734467898,131.67810852125456,22.76167692925499,0.46441594384032214,0.00354771851307521,0.0023173584634579936,1.8187941654182302
2025-03-09T18:51:00,545288.6698215969,131.8912608988784,22.900488201738014,0.46546393022744414,0.0035573673139964153,0.0023096749569902837,1.8188872177084487
2025-03-09T18:52:00,545316.6292066013,132.1049933838485,23.038836842755995,0.46651631915526703,0.003567055359812859,0.0023019373824245144,1.8189804801780618
2025-03-09T18:53:00,545344.6518668856,132.31930831859538,23.176719601277416,0.4675730916885916,0.0035767822354036095,0.0022941454976728045,1.8190739537112897
